,overlap_proportion,Condition,Time (min)
0,0.0341467873137738,ADC,30
1,0.0860311599675533,ADC,30
2,0.0157218442932728,ADC,30
3,0.0704679920153021,ADC,30
4,0.0806380446845208,ADC,30
5,0.1021550559774289,ADC,30
6,0.0565329049337602,ADC,30
7,0.0656713827589331,ADC,30
8,0.0445060762361598,ADC,30
9,0.0458531124976679,ADC,30
10,0.0,ADC,30
11,0.0789527401819392,ADC,30
12,0.0462687086265462,ADC,30
13,0.1030091962779561,ADC,30
14,0.0374786565244493,ADC,30
15,0.1074857532210109,ADC,30
16,0.1699665518446408,ADC,60
17,0.0402381344565498,ADC,60
18,0.0313023855577047,ADC,60
19,0.0918641554891468,ADC,60
20,0.1467091735351545,ADC,60
21,0.1546502470108112,ADC,60
22,0.0633077562759417,ADC,60
23,0.0550563863029398,ADC,60
24,0.1394556596138282,ADC,60
25,0.1061289578044021,ADC,60
26,0.0595992418088275,ADC,60
27,0.1299902042046567,ADC,60
28,0.0681743247463055,ADC,60
29,0.0514121066944001,ADC,60
30,0.1110731486890106,ADC,60
31,0.1692883376065414,ADC,60
32,0.0,ADC,90
33,0.1271012710127101,ADC,90
34,0.0,ADC,90
35,0.0,ADC,90
36,0.2065779280231002,ADC,90
37,0.0,ADC,90
38,0.0,ADC,90
39,0.0,ADC,90
40,0.0,ADC,90
41,0.0,ADC,90
42,0.1822601478829548,ADC,90
43,0.2431983224214309,ADC,120
44,0.1839770584610823,ADC,120
45,0.1232965115440635,ADC,120
46,0.1856794914952179,ADC,120
47,0.1943635165315578,ADC,120
48,0.2107477421888147,ADC,120
49,0.3934335893060295,ADC,120
50,0.0,ADC,120
51,0.200826335686327,ADC,120
52,0.146540027137042,ADC,120
53,0.0,ADC,120
54,0.2742980801242925,ADC,120
55,0.1391522459499263,ADC,120
56,0.2378325586442639,ADC,120
57,0.2243359118322522,ADC,120
58,0.3558922231408978,ADC,120
59,0.2622052530568233,ADC,150
60,0.4369031358569056,ADC,150
61,0.0,ADC,150
62,0.2869867548135905,ADC,150
63,0.3276305435332471,ADC,150
64,0.3375090616546139,ADC,150
65,0.243751536128826,ADC,150
66,0.4436141227544571,ADC,150
67,0.3002244766345868,ADC,150
68,0.5127567135508657,ADC,150
69,0.3028398944534769,ADC,150
70,0.5469741628827106,ADC,150
71,0.1896214256067457,ADC,150
72,0.268726561748774,ADC,150
73,0.3048149391140777,ADC,150
74,0.2207547905417259,ADC,150
75,0.4524414483375251,ADC,180
76,0.4857601656226775,ADC,180
77,0.4162663006177076,ADC,180
78,0.0,ADC,180
79,0.4222263511471571,ADC,180
80,0.5286999965780379,ADC,180
81,0.4547274155777783,ADC,180
82,0.3610495925914373,ADC,180
83,0.4538615997065187,ADC,180
84,0.5269425877947356,ADC,180
85,0.3094783025875944,ADC,180
86,0.4323291389954503,ADC,180
87,0.4550564540312851,ADC,180
88,0.4867774526583117,ADC,180
89,0.3117434504822632,ADC,180
90,0.4564576776642267,ADC,180
91,0.2375215591583304,ADC,210
92,0.2481157009399818,ADC,210
93,0.2425393275325114,ADC,210
94,0.3169416517259378,ADC,210
95,0.2753878305509172,ADC,210
96,0.2739646182656544,ADC,210
97,0.1517135177669412,ADC,210
98,0.1241250664644404,ADC,210
99,0.2755746874726265,ADC,210
100,0.0444140722811117,ADC,210
101,0.16768211006234,ADC,210
102,0.1458330629461388,ADC,210
103,0.2127680587968405,ADC,210
104,0.3087375994912886,ADC,210
105,0.065893359290504,ADC,210
106,0.237876530676748,ADC,210
107,0.1659903096485403,ADC,240
108,0.0,ADC,240
109,0.0,ADC,240
110,0.0,ADC,240
111,0.4314518271622829,ADC,240
112,0.0,ADC,240
113,0.4525273736313184,ADC,240
114,0.0,ADC,240
115,0.3372448091026956,ADC,240
116,0.0,ADC,240
117,0.0,ADC,240
118,0.2405752595281729,ADC,240
119,0.466917312096569,ADC,240
120,0.2231911225668234,ADC,240
121,0.0,ADC,240
122,0.0,ADC,240
123,0.2125930224825743,ADC,270
124,0.2267263845551543,ADC,270
125,0.3243522052965169,ADC,270
126,0.274795274187406,ADC,270
127,0.1978985289288582,ADC,270
128,0.1773842618462226,ADC,270
129,0.2604893243547549,ADC,270
130,0.2931465259590864,ADC,270
131,0.063308208421987,ADC,270
132,0.2246759898658227,ADC,270
133,0.0777974238054045,ADC,270
134,0.3134302837700133,ADC,270
135,0.2418717903969046,ADC,270
136,0.1887221024452189,ADC,270
137,0.1912318961585337,ADC,270
138,0.0637874715932393,ADC,270
139,0.2549667038164468,ADC,300
140,0.0264918117391184,ADC,300
141,0.2204157085872954,ADC,300
142,0.0,ADC,300
143,0.0866686807918138,ADC,300
144,0.216878158472221,ADC,300
145,0.0,ADC,300
146,0.1508927565785963,ADC,300
147,0.243641422991585,ADC,300
148,0.2075430265727314,ADC,300
149,0.0,ADC,300
150,0.2156180407952072,ADC,300
151,0.1243031695197251,ADC,300
152,0.2816433168381037,ADC,300
153,0.2133071407728542,ADC,300
154,0.2414529021472232,ADC,300
155,0.0517872278844762,ADC,30
156,0.002466091245376,ADC,30
157,0.0307692307692307,ADC,30
158,0.0116126615471062,ADC,30
159,0.0764645716502662,ADC,30
160,0.0545695965896186,ADC,30
161,0.0541115530478216,ADC,30
162,0.0259111136146003,ADC,30
163,0.1625642211070264,ADC,60
164,0.1172983194486532,ADC,60
165,0.0930098763064531,ADC,60
166,0.1614137442661762,ADC,60
167,0.1086827358044696,ADC,60
168,0.1731330427486244,ADC,60
169,0.0847238515860419,ADC,60
170,0.082778306374881,ADC,60
171,0.1064573344944786,ADC,60
172,0.122380068240083,ADC,60
173,0.1786594381468703,ADC,60
174,0.097150312720043,ADC,60
175,0.1404149767036503,ADC,60
176,0.1661184210526315,ADC,60
177,0.038198371933468,ADC,60
178,0.0260676650027731,ADC,60
179,0.0,ADC,90
180,0.0,ADC,90
181,0.0,ADC,90
182,0.0,ADC,90
183,0.0,ADC,90
184,0.0,ADC,90
185,0.0,ADC,90
186,0.0,ADC,90
187,0.0241186471421939,ADC,120
188,0.0692556634304207,ADC,120
189,0.0397160858122657,ADC,120
190,0.0294718153573013,ADC,120
191,0.1071328866554997,ADC,120
192,0.2064202739087005,ADC,120
193,0.2329351535836177,ADC,120
194,0.0,ADC,120
195,0.0078520770010131,ADC,120
196,0.0809357894908492,ADC,120
197,0.0285557386051619,ADC,120
198,0.3468965517241379,ADC,120
199,0.0593732255221621,ADC,120
200,0.0826333927009453,ADC,120
201,0.1185704671230586,ADC,120
202,0.1465444722218931,ADC,120
203,0.286104279073361,ADC,150
204,0.3727751071846173,ADC,150
205,0.1877448882157321,ADC,150
206,0.000648279367486,ADC,150
207,0.2444141841635466,ADC,150
208,0.2766490119280755,ADC,150
209,0.3514342141334571,ADC,150
210,0.3005124574356899,ADC,150
211,0.3255833756365959,ADC,150
212,0.5038994763682336,ADC,150
213,0.4335120851791404,ADC,150
214,0.3345110866959648,ADC,150
215,0.2710756579533797,ADC,150
216,0.5409100346573396,ADC,150
217,0.0,ADC,150
218,0.2986824009513754,ADC,150
219,0.000138083402375,ADC,180
220,0.0,ADC,180
221,0.2281513245249341,ADC,180
222,0.0,ADC,180
223,0.028170436187399,ADC,180
224,0.6731701675252,ADC,180
225,0.0114255489091087,ADC,180
226,0.5449844881075491,ADC,180
227,0.5466512053966186,ADC,180
228,0.1675784922457749,ADC,210
229,0.1594528233203189,ADC,210
230,0.2865998475629583,ADC,210
231,0.0,ADC,210
232,0.3000095451780176,ADC,210
233,0.3639896085029425,ADC,210
234,0.2595108283936775,ADC,210
235,0.1429555433563533,ADC,210
236,0.3131598638898447,ADC,210
237,0.134570970481853,ADC,210
238,0.0034159249458744,ADC,210
239,0.3415094194717723,ADC,210
240,0.0835296230298509,ADC,210
241,0.3122960601800746,ADC,210
242,0.0196712972935097,ADC,210
243,0.2709484768316001,ADC,210
244,0.1896987480788647,ADC,240
245,0.1793270259471639,ADC,240
246,0.1247831368916874,ADC,240
247,0.0916436358053124,ADC,240
248,0.1620351682055159,ADC,240
249,0.2230657228789551,ADC,240
250,0.1284841952971014,ADC,240
251,0.162937800163992,ADC,240
252,0.2875622753070423,ADC,240
253,0.2280631187656163,ADC,240
254,0.3869290933684097,ADC,240
255,0.1601889769925145,ADC,240
256,0.4747301206969067,ADC,240
257,0.1962205162120792,ADC,240
258,0.2488703065596597,ADC,240
259,0.0924102645935352,ADC,240
260,0.2564943330657648,ADC,270
261,0.2586908084437112,ADC,270
262,0.1843447534356768,ADC,270
263,0.2545632245748365,ADC,270
264,0.2394883716018385,ADC,270
265,0.2989522297062957,ADC,270
266,0.3296798645876568,ADC,270
267,0.3514468982583125,ADC,270
268,0.1890009843822482,ADC,270
269,0.3645784875806113,ADC,270
270,0.3069363919438882,ADC,270
271,0.0928735054195999,ADC,270
272,0.0347689998738248,ADC,270
273,0.3296568857623385,ADC,270
274,0.3314418149785544,ADC,270
275,0.0125761335438754,ADC,270
276,,ADC,300
277,,ADC,300
278,,ADC,300
279,,ADC,300
280,,ADC,300
281,,ADC,300
282,,ADC,300
283,,ADC,300
284,,ADC,300
285,,ADC,300
286,,ADC,300
287,,ADC,300
288,,ADC,300
289,,ADC,300
290,,ADC,300
291,,ADC,300
292,0.0555953326487208,Ab1,30
293,0.0722975554419189,Ab1,30
294,0.0402181412836177,Ab1,30
295,0.0649485707294479,Ab1,30
296,0.0601761172165543,Ab1,30
297,0.0450710775975298,Ab1,30
298,0.083278152144276,Ab1,30
299,0.0608819171585045,Ab1,30
300,0.0682776377282718,Ab1,30
301,0.062925835690905,Ab1,30
302,0.0644113849886653,Ab1,30
303,0.0260902759939492,Ab1,30
304,0.0233504436478944,Ab1,60
305,0.0320051497216742,Ab1,60
306,0.0530370389600275,Ab1,60
307,0.0912125990666496,Ab1,60
308,0.0890404164157649,Ab1,60
309,0.0060067168045159,Ab1,60
310,0.087138772544112,Ab1,60
311,0.0952028874965477,Ab1,60
312,0.0998617810498998,Ab1,60
313,0.0478790437038124,Ab1,60
314,0.0422757362120729,Ab1,60
315,0.049817735816766,Ab1,60
316,0.0184959503505955,Ab1,90
317,0.0829474042374988,Ab1,90
318,0.1129130122661045,Ab1,90
319,0.1186036936688345,Ab1,90
320,0.1066550562076521,Ab1,90
321,0.1268348881610986,Ab1,90
322,0.0868931271136109,Ab1,90
323,0.1135379170699037,Ab1,90
324,0.0835664493322151,Ab1,90
325,0.0437798950823596,Ab1,90
326,0.09361321436654,Ab1,90
327,0.155893127533825,Ab1,90
328,0.0043454807000719,Ab1,120
329,0.0188007070163689,Ab1,120
330,0.0215857414996036,Ab1,120
331,0.1128600715632534,Ab1,120
332,0.1110267209376203,Ab1,120
333,0.0465820048635503,Ab1,120
334,0.1351971979265912,Ab1,120
335,0.1136447133419697,Ab1,120
336,0.1227465485192159,Ab1,120
337,0.1076642531665402,Ab1,120
338,0.1101140207266621,Ab1,120
339,0.086137223050703,Ab1,120
340,0.1073655579439604,Ab1,150
341,0.1087190668428736,Ab1,150
342,0.0729738600506923,Ab1,150
343,0.1372439360553196,Ab1,150
344,0.0632266736880032,Ab1,150
345,0.0908593075073861,Ab1,150
346,0.1175578872682121,Ab1,150
347,0.1407623057639574,Ab1,150
348,0.0669024317818535,Ab1,150
349,0.1316190337598447,Ab1,150
350,0.0987584308915777,Ab1,150
351,0.1614752150622469,Ab1,150
352,0.1480157654182465,Ab1,180
353,0.0616924485784555,Ab1,180
354,0.0926438108704084,Ab1,180
355,0.0470391675272182,Ab1,180
356,0.099295821672396,Ab1,180
357,0.0674996696794283,Ab1,180
358,0.0445168004573044,Ab1,180
359,0.1203896315270958,Ab1,180
360,0.1236698939661071,Ab1,180
361,0.0359907134641384,Ab1,180
362,0.1247517377746838,Ab1,180
363,0.0915416819864875,Ab1,180
364,0.1817087189043693,Ab1,210
365,0.1767829842869126,Ab1,210
366,0.1499366193551189,Ab1,210
367,0.093210106241599,Ab1,210
368,0.134557783261832,Ab1,210
369,0.230013800186142,Ab1,210
370,0.1371181567694287,Ab1,210
371,0.1671811203087421,Ab1,210
372,0.1597299217215848,Ab1,210
373,0.0075159467921216,Ab1,210
374,0.1486032084837099,Ab1,210
375,0.0801347059821738,Ab1,210
376,0.1624439687614468,Ab1,240
377,0.1501767745283016,Ab1,240
378,0.1757368097766489,Ab1,240
379,0.0482674892269391,Ab1,240
380,0.051545760057927,Ab1,240
381,0.2257459330266505,Ab1,240
382,0.1323614996724087,Ab1,240
383,0.1508956537964742,Ab1,240
384,0.1225864324265305,Ab1,240
385,0.145092816879662,Ab1,240
386,0.1763664057577885,Ab1,240
387,0.8788510539726662,Ab1,240
388,0.1265407360508662,Ab1,270
389,0.1893490692169101,Ab1,270
390,0.1868856534090909,Ab1,270
391,0.1990369395347438,Ab1,270
392,0.1118097040500469,Ab1,270
393,0.2159249676173017,Ab1,270
394,0.2062375739296947,Ab1,270
395,0.181453745028612,Ab1,270
396,0.5222297232134246,Ab1,270
