,overlap_proportion,Condition,Time (min)
87,0.4313997507021941,ADC,240
88,0.2879658156164874,ADC,240
89,0.1026677996496731,ADC,240
90,0.2918382476005918,ADC,240
91,0.1759368708389596,ADC,240
92,0.3254548191724665,ADC,240
93,0.0947644624465399,ADC,240
94,0.1870639105020504,ADC,240
95,0.0845325517038735,ADC,240
96,0.296445138534694,ADC,270
97,0.3235921629432138,ADC,270
98,0.3693665355886105,ADC,270
99,0.3528414367158958,ADC,270
100,0.3282807754375119,ADC,270
101,0.474605016108123,ADC,270
102,0.2825655946040799,ADC,270
103,0.2805173633207649,ADC,270
104,0.096702008834076,ADC,270
105,0.2869814484068659,ADC,270
106,0.28266461726706,ADC,270
107,0.2815782770330946,ADC,270
108,0.3143192214096351,ADC,300
109,0.0,ADC,300
110,0.0,ADC,300
111,0.2733966559265989,ADC,300
112,0.3073302130713622,ADC,300
113,0.5198495976028484,ADC,300
114,0.2738524458277329,ADC,300
115,0.2908034535400015,ADC,300
116,0.262618763288274,ADC,300
117,0.2094793678683106,ADC,300
118,0.1379846726901723,ADC,300
119,0.28886192949297,ADC,300
120,0.0747366393218924,ADC,30
121,0.0933064593314904,ADC,30
122,0.079201181036382,ADC,30
123,0.0552328007377419,ADC,30
124,0.0457686465832285,ADC,30
125,0.048053275149073,ADC,30
126,0.0596468301902459,ADC,30
127,0.0488632521133764,ADC,30
128,0.0769784865048284,ADC,30
129,0.0339584820276077,ADC,30
130,0.0523579322246734,ADC,30
131,0.0660980309684739,ADC,30
132,0.0318255410926476,ADC,60
133,0.0,ADC,60
134,0.0,ADC,60
135,0.2247137544291194,ADC,60
136,0.0,ADC,60
137,0.1667905670507578,ADC,60
138,0.0,ADC,60
139,0.1841668526163115,ADC,60
140,0.017265646992587,ADC,60
141,0.0371542352814551,ADC,60
142,0.674312672848544,ADC,60
143,0.0444256994235906,ADC,60
144,0.0971037326316142,ADC,90
145,0.1763684035530981,ADC,90
146,0.1091064968122842,ADC,90
147,0.036632641926812,ADC,90
148,0.0564579357772995,ADC,90
149,0.1111162753358037,ADC,90
150,0.0996095828393805,ADC,90
151,0.0824429910444729,ADC,90
152,0.1100155370389412,ADC,90
153,0.0460619979630769,ADC,90
154,0.1277425991588181,ADC,90
155,0.0485376152835479,ADC,90
156,0.1339815186822016,ADC,120
157,0.1655418295004084,ADC,120
158,0.1798582726300058,ADC,120
159,0.0860383673085204,ADC,120
160,0.106474063351347,ADC,120
161,0.1679912979086464,ADC,120
162,0.131172198578262,ADC,120
163,0.1264258580906855,ADC,120
164,0.153938066674598,ADC,120
165,0.0890983799469454,ADC,120
166,0.103627588309032,ADC,120
167,0.1095423441060216,ADC,120
168,0.1184753594056551,ADC,150
169,0.1597136041248043,ADC,150
170,0.2025907989523009,ADC,150
171,0.1985278634966652,ADC,150
172,0.1463935817290583,ADC,150
173,0.1218604770916206,ADC,150
174,0.1201629341709408,ADC,150
175,0.2037544056028679,ADC,150
176,0.0570928926820465,ADC,150
177,0.1705891194293951,ADC,150
178,0.1493891220518917,ADC,150
179,0.1121714451332663,ADC,150
180,0.196714166166978,ADC,180
181,0.0636846095526914,ADC,180
182,0.1572893734915252,ADC,180
183,0.1393003417995963,ADC,180
184,0.1750757029916354,ADC,180
185,0.0957028627828189,ADC,180
186,0.0892517876484211,ADC,180
187,0.1840575142850327,ADC,180
